Slice,PSNR,SSIM
1,8.219650508923344,0.2915076006509058
2,16.954014941656453,0.3806934378031811
3,16.194536552678894,0.39053512591860706
4,7.244913280232813,0.2359773889096267
5,12.044356673283456,0.30908599143380766
6,14.174094838980785,0.3058312155105863
7,7.566655265548665,0.25168238278289506
8,14.100967880561953,0.2200336205223448
9,15.369889321857794,0.3784778313370186
10,7.4536654846889885,0.29435467971825774
11,11.049187079003817,0.2784385671709016
12,15.140680681087957,0.30570808433396135
13,19.397601801312835,0.394269486236376
14,12.22544498496979,0.3416342211697061
15,18.527109840600023,0.3805777818641599
16,19.438070936724944,0.31470945449890186
17,12.697906831909467,0.36931007343439387
18,17.17741936325933,0.2885944357744453
19,15.885456531284174,0.2990377459809147
20,15.899103871216592,0.3119195035452627
21,11.192416563276009,0.37098417197407346
22,19.463462447957284,0.38848833506793007
23,10.88649452540471,0.3639609143672625
24,7.120479516275108,0.24757974456630755
25,19.381161842634825,0.341204284514038
26,8.052523247898787,0.2845595565021815
27,15.19033232292336,0.39752325922213505
28,15.086811938170914,0.35769737744781316
29,7.260125729587824,0.2840160462441292
30,11.967677899682238,0.3470075940573819
31,7.923854167584413,0.2980354890343033
32,9.075089577795461,0.2285711739432809
33,11.084538753626132,0.32439434877102435
34,17.897243047553495,0.37396598872572934
35,13.173072042348208,0.3153904214234162
36,23.326154447262187,0.3938734331470964
37,9.888507928411697,0.27484177223937784
38,15.626345596123523,0.22811611506131535
39,20.54727186245014,0.3865353624748201
40,14.039861975762358,0.3600689771573953
41,19.1362544316838,0.3520433607331026
42,14.679688489085045,0.28199814094793274
43,12.511163683365735,0.354969249257514
44,12.58709174292475,0.3915941664481668
45,11.474238938189163,0.22020995671806784
46,10.262665041163805,0.33834661809037464
47,14.343840112709286,0.36490158037110904
48,11.343598341653072,0.37519818271354205
49,19.999372004504043,0.38659770869829546
50,21.275656142539745,0.3570616039095758
51,14.51853567977009,0.2241723090251235
52,14.079943517617906,0.3956355150855483
53,9.832160106006352,0.25252039200554083
54,19.675807859683317,0.3737577217865347
55,11.979801087576847,0.38190473467659164
56,12.322462654194892,0.3217712211682973
57,14.137151654557163,0.3600758365384727
58,9.240496929184793,0.2709194360188547
59,13.769095582324994,0.3920375408079635
60,7.258097190954322,0.2628335310322999
61,10.606702112716624,0.29243816989125104
62,11.487505137722284,0.3024902328593621
63,9.99026406480289,0.29228884074450545
64,17.560313850901256,0.31803087617570525
65,10.610556896860938,0.31508196635190183
66,8.976602034437226,0.21988995187109675
67,17.115467326527813,0.3806866277381471
68,10.55848767336536,0.3181754557941993
69,12.293324509795356,0.2925857116535856
70,16.266723059801265,0.36489470921964456
71,9.537812659269283,0.2562665193666276
72,12.275196598560104,0.3669842678310805
73,13.286923357723072,0.36476054693548077
74,8.244095899171565,0.27049032445323457
75,12.619864556835568,0.3444790594306396
76,15.350922091047893,0.38067001594834804
77,16.329479013395908,0.3977094620536681
78,14.89644103055479,0.3827301194560154
79,9.525547566347761,0.2955304393378702
80,13.6918663122331,0.3760270597521318
81,11.644040756378596,0.2641200060174336
82,19.910882899484704,0.37372930566509044
83,10.775445977578848,0.3466146565766523
84,13.161279872832425,0.29938040772176167
